,real_value,validation_predictions,abs_diff,precision_up_to_0_degrees,precision_up_to_1_degrees,precision_up_to_2_degrees,precision_up_to_3_degrees
229,32,32.000000000000114,0.0,1,1,1,1
230,32,32.00000000000016,0.0,1,1,1,1
231,31,31.000000000000142,0.0,1,1,1,1
232,28,28.000000000000128,0.0,1,1,1,1
233,29,29.000000000000092,0.0,1,1,1,1
234,31,31.000000000000114,0.0,1,1,1,1
235,33,33.0000000000001,0.0,1,1,1,1
236,32,32.000000000000156,0.0,1,1,1,1
237,32,32.000000000000135,0.0,1,1,1,1
238,31,31.000000000000114,0.0,1,1,1,1
239,32,32.00000000000009,0.0,1,1,1,1
240,33,33.00000000000011,0.0,1,1,1,1
241,33,33.00000000000013,0.0,1,1,1,1
242,31,31.000000000000142,0.0,1,1,1,1
243,32,32.0000000000001,0.0,1,1,1,1
244,32,32.00000000000012,0.0,1,1,1,1
245,32,32.00000000000012,0.0,1,1,1,1
246,31,31.000000000000114,0.0,1,1,1,1
247,31,31.000000000000092,0.0,1,1,1,1
248,31,31.0000000000001,0.0,1,1,1,1
249,29,29.00000000000012,0.0,1,1,1,1
250,31,31.000000000000078,0.0,1,1,1,1
251,32,32.00000000000012,0.0,1,1,1,1
252,31,31.000000000000128,0.0,1,1,1,1
253,31,31.000000000000135,0.0,1,1,1,1
254,30,30.00000000000012,0.0,1,1,1,1
255,31,31.000000000000128,0.0,1,1,1,1
256,30,30.000000000000135,0.0,1,1,1,1
257,28,28.000000000000192,0.0,1,1,1,1
258,29,29.000000000000085,0.0,1,1,1,1
259,30,30.000000000000107,0.0,1,1,1,1
260,31,31.000000000000142,0.0,1,1,1,1
261,32,32.000000000000114,0.0,1,1,1,1
262,27,27.000000000000142,0.0,1,1,1,1
263,17,17.0000000000001,0.0,1,1,1,1
264,22,21.999999999999993,0.0,1,1,1,1
265,26,26.0000000000001,0.0,1,1,1,1
266,29,29.000000000000178,0.0,1,1,1,1
267,28,28.000000000000142,0.0,1,1,1,1
268,27,27.000000000000107,0.0,1,1,1,1
269,27,27.000000000000185,0.0,1,1,1,1
270,28,28.00000000000024,0.0,1,1,1,1
271,27,27.000000000000405,0.0,1,1,1,1
272,27,27.000000000000135,0.0,1,1,1,1
273,24,24.000000000000114,0.0,1,1,1,1
274,22,22.000000000000085,0.0,1,1,1,1
275,23,23.000000000000043,0.0,1,1,1,1
276,24,24.00000000000007,0.0,1,1,1,1
277,23,23.00000000000005,0.0,1,1,1,1
278,25,25.000000000000078,0.0,1,1,1,1
279,26,26.00000000000007,0.0,1,1,1,1
280,26,26.000000000000078,0.0,1,1,1,1
281,29,29.000000000000114,0.0,1,1,1,1
282,29,29.000000000000107,0.0,1,1,1,1
283,24,24.0000000000001,0.0,1,1,1,1
284,21,21.000000000000043,0.0,1,1,1,1
285,24,24.000000000000014,0.0,1,1,1,1
286,27,27.00000000000005,0.0,1,1,1,1
287,28,28.000000000000114,0.0,1,1,1,1
288,28,28.000000000000114,0.0,1,1,1,1
289,29,29.000000000000092,0.0,1,1,1,1
290,29,29.000000000000085,0.0,1,1,1,1
291,21,21.000000000000092,0.0,1,1,1,1
292,21,21.00000000000005,0.0,1,1,1,1
293,21,21.000000000000092,0.0,1,1,1,1
294,19,19.000000000000156,0.0,1,1,1,1
295,22,22.000000000000036,0.0,1,1,1,1
296,22,22.000000000000064,0.0,1,1,1,1
297,23,23.000000000000057,0.0,1,1,1,1
298,24,24.000000000000064,0.0,1,1,1,1
