STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,26-04-18 23:59,SOD,,,,,,,,,,,,,,,,,,,,70,55,62,5.4,,,,3,0,500,1848,RA:16 FG:01 BR:13,0.1,0,0,29.55,,4.8,22,280,15,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,26-04-18 23:51,FM-15,CLR:00,10,,59,15,50,9.8,40,4.4,49,5,70,,29.74,,,29.88,0,29.91,70,55,62,5.4,,,,3,0,500,1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,25-04-18 23:59,SOD,,,,,,,,,,,,,,,,,,,,60,52,56,-0.3,,,,9,0,501,1847,RA:16 FG:01 BR:13,0.95,0,0,29.66,,3.9,20,150,12,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,25-04-18 23:51,FM-15,SCT:04 6 BKN:07 15 OVC:08 27,0.75,+RA:02 BR:1 |RA:63 |RA:63,55,12.8,54,12.5,54,12.2,96,0,0,,29.49,,,29.62,0.27,29.65,60,52,56,-0.3,,,,9,0,501,1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,24-04-18 23:59,SOD,,,,,,,,,,,,,,,,,,,,66,46,56,0,,,,9,0,503,1846,RA:16,0.05,0,0,30.19,,4.3,23,170,15,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,24-04-18 23:51,FM-15,OVC:08 13,9,-RA:02 |RA:61 |RA:61,55,12.8,53,11.9,52,11.1,90,0,0,,29.98,,,30.13,0.01,30.15,66,46,56,0,,,,9,0,503,1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,23-04-18 23:59,SOD,,,,,,,,,,,,,,,,,,,,68,46,57,1.4,,,,8,0,504,1845,,0,0,0,30.3,,4.5,21,150,15,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,23-04-18 23:51,FM-15,CLR:00,10,,50,10,45,7.2,39,3.9,66,3,50,,30.27,,,30.42,0,30.44,68,46,57,1.4,,,,8,0,504,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,22-04-18 23:59,SOD,,,,,,,,,,,,,,,,,,,,67,44,56,0.7,,,,9,0,506,1844,,0,0,0,30.23,,4.2,23,170,13,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,22-04-18 23:51,FM-15,CLR:00,10,,51,10.6,41,5,27,-2.8,39,0,0,,30.25,,,30.4,0,30.42,67,44,56,0.7,,,,9,0,506,1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,21-04-18 23:59,SOD,,,,,,,,,,,,,,,,,,,,63,39,51,-4,,,,14,0,507,1842,,0,0,0,30.2,,5.8,22,280,15,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,21-04-18 23:51,FM-15,CLR:00,10,,52,11.1,39,4.1,19,-7.2,27,3,VRB,,30.22,,,30.36,0,30.39,63,39,51,-4,,,,14,0,507,1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,20-04-18 23:59,SOD,,,,,,,,,,,,,,,,,,,,50,37,44,-10.7,,,,21,0,508,1841,,0,0,0,30.05,,8.5,30,300,20,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,20-04-18 23:51,FM-15,CLR:00,10,,40,4.4,34,0.9,23,-5,51,7,VRB,,30.23,,,30.38,0,30.4,50,37,44,-10.7,,,,21,0,508,1841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,19-04-18 23:59,SOD,,,,,,,,,,,,,,,,,,,,49,38,44,-10.3,,,,21,0,510,1840,RA:16 BR:13,0.15,0,0,29.64,,7.6,29,290,18,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,19-04-18 23:51,FM-15,CLR:00,10,,38,3.3,32,0.3,23,-5,55,9,VRB,,29.87,,,30.02,0,30.04,49,38,44,-10.3,,,,21,0,510,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,18-04-18 23:59,SOD,,,,,,,,,,,,,,,,,,,,55,37,46,-8,,,,19,0,511,1839,,0,0,0,29.63,,6.4,27,250,18,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,18-04-18 23:51,FM-15,OVC:08 70,10,,49,9.4,41,4.9,30,-1.1,48,6,50,,29.61,,,29.76,0,29.78,55,37,46,-8,,,,19,0,511,1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,17-04-18 23:59,SOD,,,,,,,,,,,,,,,,,,,,47,39,43,-10.6,,,,22,0,513,1838,,T,0,0,29.5,,8.4,29,270,17,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,17-04-18 23:51,FM-15,FEW:02 75,10,,39,3.9,33,0.8,24,-4.4,55,5,VRB,,29.6,,,29.75,0,29.77,47,39,43,-10.6,,,,22,0,513,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
